Ticker,Date,article_count,neutral_count,positive_count,negative_count,neutral_avg,positive_avg,negative_avg,acquisition_avg,earnings_avg,production_avg,exploration_avg,green_energy_avg,Returns,Returns (no NaN),Returns Next Day,Returns Next Day(no NaN),Neu Ratio,Pos Ratio,Neg Ratio
PSX,2023-11-25,1,0,0,1,0.07552481628954405,0.23046528128907082,0.6940098609775305,0.7726387828588486,0.5391482971608639,0.3161616399884224,0.22312016412615773,0.15052126999944446,,0.035762714423278164,0.035762714423278164,0.035762714423278164,0.0,0.0,1.0
PSX,2023-11-29,2,2,0,0,0.8545564115047455,0.04996366263367233,0.0954799354076385,0.6801368594169617,0.30212026461958885,0.24002107046544546,0.21959740482270715,0.18937986902892584,0.035762714423278164,0.035762714423278164,0.05457372749709499,0.05457372749709499,1.0,0.0,0.0
PSX,2023-11-30,3,1,1,1,0.29153393198632527,0.3134512488419811,0.39501483324501246,0.6515753683116701,0.3260674305881063,0.22679817357048804,0.1862092582095,0.13371423183060768,0.05457372749709499,0.05457372749709499,0.006284392513631332,0.006284392513631332,0.3333333333333333,0.3333333333333333,0.3333333333333333
PSX,2023-12-01,1,0,0,1,0.3488365709781647,0.0571325123310089,0.5940309166908264,0.5750542879104614,0.3032346069812774,0.2413201779127121,0.2136577367782592,0.2122398614883422,0.006284392513631332,0.006284392513631332,,-0.00971465761194712,0.0,0.0,1.0
PSX,2023-12-02,1,0,0,1,0.1085472206274668,0.18326749869932724,0.7081853449344635,0.8059033751487732,0.38130423178275424,0.3511941035588582,0.23496990154186884,0.1973496389885743,,-0.00971465761194712,-0.00971465761194712,-0.00971465761194712,0.0,0.0,1.0
PSX,2023-12-04,1,1,0,0,0.4433339536190033,0.31070725060999393,0.24595879390835762,0.7726372480392456,0.3114626109600067,0.27360414713621134,0.2178072109818458,0.12669443339109415,-0.00971465761194712,-0.00971465761194712,-0.0057614929237344015,-0.0057614929237344015,1.0,0.0,0.0
PSX,2023-12-05,1,1,0,0,0.7605854868888855,0.1590499151498079,0.08036458864808076,0.607343003153801,0.328236237168312,0.25178300496190786,0.21729610767215485,0.16457220446318385,-0.0057614929237344015,-0.0057614929237344015,0.00869772188600848,0.00869772188600848,1.0,0.0,0.0
PSX,2023-12-11,1,0,0,1,0.2795112999156117,0.03873427701182658,0.6817544219084084,0.7557617276906967,0.516705397516489,0.28498921170830727,0.2309798542410135,0.14606153313070533,0.00869772188600848,0.00869772188600848,,0.013341716550799188,0.0,0.0,1.0
PSX,2023-12-16,1,0,0,1,0.28204510267823935,0.0404514507390558,0.6775034149177372,0.7603508234024048,0.5160263441503048,0.2972286343574524,0.23121389374136922,0.14774337969720358,,0.013341716550799188,,0.013341716550799188,0.0,0.0,1.0
PSX,2023-12-23,1,0,0,1,0.28184122312814,0.0404485508333891,0.6777101983316243,0.7590088248252869,0.5121947564184666,0.29675258696079254,0.23049064166843888,0.14792113099247212,,0.013341716550799188,,0.013341716550799188,0.0,0.0,1.0
PSX,2023-12-30,1,0,0,1,0.2799008418805897,0.04068454843945795,0.6794145931489766,0.7666924595832825,0.532827153801918,0.29570076242089266,0.2491373289376497,0.1642291164025664,,0.013341716550799188,,0.013341716550799188,0.0,0.0,1.0
